name,date,price
SP500,4/1/2021,4019.87
SP500,4/5/2021,4077.91
SP500,4/6/2021,4073.94
SP500,4/7/2021,4079.95
SP500,4/8/2021,4097.17
SP500,4/9/2021,4128.8
SP500,4/12/2021,4127.99
SP500,4/13/2021,4141.59
SP500,4/14/2021,4124.66
SP500,4/15/2021,4170.42
SP500,4/16/2021,4185.47
SP500,4/19/2021,4163.26
SP500,4/20/2021,4134.94
SP500,4/21/2021,4173.42
SP500,4/22/2021,4134.98
SP500,4/23/2021,4180.17
SP500,4/26/2021,4187.62
SP500,4/27/2021,4186.72
SP500,4/28/2021,4183.18
SP500,4/29/2021,4211.47
SP500,4/30/2021,4181.17
SP500,5/3/2021,4192.66
SP500,5/4/2021,4164.66
SP500,5/5/2021,4167.59
SP500,5/6/2021,4201.62
SP500,5/7/2021,4232.6
SP500,5/10/2021,4188.43
SP500,5/11/2021,4152.1
SP500,5/12/2021,4063.04
SP500,5/13/2021,4112.5
SP500,5/14/2021,4173.85
SP500,5/17/2021,4163.29
SP500,5/18/2021,4127.83
SP500,5/19/2021,4115.68
SP500,5/20/2021,4159.12
SP500,5/21/2021,4155.86
SP500,5/24/2021,4197.05
SP500,5/25/2021,4188.13
SP500,5/26/2021,4195.99
SP500,5/27/2021,4200.88
SP500,5/28/2021,4204.11
SP500,6/1/2021,4202.04
SP500,6/2/2021,4208.12
SP500,6/3/2021,4192.85
SP500,6/4/2021,4229.89
SP500,6/7/2021,4226.52
SP500,6/8/2021,4227.26
SP500,6/9/2021,4219.55
SP500,6/10/2021,4239.18
SP500,6/11/2021,4247.44
SP500,6/14/2021,4255.15
SP500,6/15/2021,4246.59
SP500,6/16/2021,4223.7
SP500,6/17/2021,4221.86
SP500,6/18/2021,4166.45
SP500,6/21/2021,4224.79
SP500,6/22/2021,4246.44
SP500,6/23/2021,4241.84
SP500,6/24/2021,4266.49
SP500,6/25/2021,4280.7
SP500,6/28/2021,4290.61
SP500,6/29/2021,4291.8
SP500,6/30/2021,4297.5
SP500,7/1/2021,4319.94
SP500,7/2/2021,4352.34
SP500,7/6/2021,4343.54
SP500,7/7/2021,4358.13
SP500,7/8/2021,4320.82
SP500,7/9/2021,4369.55
SP500,7/12/2021,4384.63
SP500,7/13/2021,4369.21
SP500,7/14/2021,4374.3
SP500,7/15/2021,4360.03
SP500,7/16/2021,4327.16
SP500,7/19/2021,4258.49
SP500,7/20/2021,4323.06
SP500,7/21/2021,4358.69
SP500,7/22/2021,4367.48
SP500,7/23/2021,4411.79
SP500,7/26/2021,4422.3
SP500,7/27/2021,4401.46
SP500,7/28/2021,4400.64
SP500,7/29/2021,4419.15
SP500,7/30/2021,4395.26
SP500,8/2/2021,4387.16
SP500,8/3/2021,4423.15
SP500,8/4/2021,4402.66
SP500,8/5/2021,4429.1
SP500,8/6/2021,4436.52
SP500,8/9/2021,4432.35
SP500,8/10/2021,4436.75
SP500,8/11/2021,4447.7
SP500,8/12/2021,4460.83
SP500,8/13/2021,4468
SP500,8/16/2021,4479.71
SP500,8/17/2021,4448.08
SP500,8/18/2021,4400.27
SP500,8/19/2021,4405.8
SP500,8/20/2021,4441.67
SP500,8/23/2021,4479.53
SP500,8/24/2021,4486.23
SP500,8/25/2021,4496.19
SP500,8/26/2021,4470
SP500,8/27/2021,4509.37
SP500,8/30/2021,4528.79
SP500,8/31/2021,4522.68
SP500,9/1/2021,4524.09
SP500,9/2/2021,4536.95
SP500,9/3/2021,4535.43
SP500,9/7/2021,4520.03
SP500,9/8/2021,4514.07
SP500,9/9/2021,4493.28
SP500,9/10/2021,4458.58
SP500,9/13/2021,4468.73
SP500,9/14/2021,4443.05
SP500,9/15/2021,4480.7
SP500,9/16/2021,4473.75
SP500,9/17/2021,4432.99
SP500,9/20/2021,4357.73
SP500,9/21/2021,4354.19
SP500,9/22/2021,4395.64
SP500,9/23/2021,4448.98
SP500,9/24/2021,4455.48
SP500,9/27/2021,4443.11
SP500,9/28/2021,4352.63
SP500,9/29/2021,4359.46
SP500,9/30/2021,4307.54
SP500,10/1/2021,4357.04
SP500,10/4/2021,4300.46
SP500,10/5/2021,4345.72
SP500,10/6/2021,4363.55
SP500,10/7/2021,4399.76
SP500,10/8/2021,4391.34
SP500,10/11/2021,4361.19
SP500,10/12/2021,4350.65
SP500,10/13/2021,4363.8
SP500,10/14/2021,4438.26
SP500,10/15/2021,4471.37
SP500,10/18/2021,4486.46
SP500,10/19/2021,4519.63
SP500,10/20/2021,4536.19
SP500,10/21/2021,4549.78
SP500,10/22/2021,4544.9
SP500,10/25/2021,4566.48
SP500,10/26/2021,4574.79
SP500,10/27/2021,4551.68
SP500,10/28/2021,4596.42
SP500,10/29/2021,4605.38
SP500,11/1/2021,4613.67
SP500,11/2/2021,4630.65
SP500,11/3/2021,4660.57
SP500,11/4/2021,4680.06
SP500,11/5/2021,4697.53
SP500,11/8/2021,4701.7
SP500,11/9/2021,4685.25
SP500,11/10/2021,4646.71
SP500,11/11/2021,4649.27
SP500,11/12/2021,4682.85
SP500,11/15/2021,4682.8
SP500,11/16/2021,4700.9
SP500,11/17/2021,4688.67
SP500,11/18/2021,4704.54
SP500,11/19/2021,4697.96
SP500,11/22/2021,4682.94
SP500,11/23/2021,4690.7
SP500,11/24/2021,4701.46
SP500,11/26/2021,4594.62
SP500,11/29/2021,4655.27
SP500,11/30/2021,4567
SP500,12/1/2021,4513.04
SP500,12/2/2021,4577.1
SP500,12/3/2021,4538.43
SP500,12/6/2021,4591.67
SP500,12/7/2021,4686.75
SP500,12/8/2021,4701.21
SP500,12/9/2021,4667.45
SP500,12/10/2021,4712.02
SP500,12/13/2021,4668.97
SP500,12/14/2021,4634.09
SP500,12/15/2021,4709.85
SP500,12/16/2021,4668.67
SP500,12/17/2021,4620.64
SP500,12/20/2021,4568.02
SP500,12/21/2021,4649.23
SP500,12/22/2021,4696.56
SP500,12/23/2021,4725.79
SP500,12/27/2021,4791.19
SP500,12/28/2021,4786.35
SP500,12/29/2021,4793.06
SP500,12/30/2021,4778.73
SP500,12/31/2021,4766.18
SP500,1/3/2022,4796.56
SP500,1/4/2022,4793.54
SP500,1/5/2022,4700.58
SP500,1/6/2022,4696.05
SP500,1/7/2022,4677.03
SP500,1/10/2022,4670.29
SP500,1/11/2022,4713.07
SP500,1/12/2022,4726.35
SP500,1/13/2022,4659.03
SP500,1/14/2022,4662.85
SP500,1/18/2022,4577.11
SP500,1/19/2022,4532.76
SP500,1/20/2022,4482.73
SP500,1/21/2022,4397.94
SP500,1/24/2022,4410.13
SP500,1/25/2022,4356.45
SP500,1/26/2022,4349.93
SP500,1/27/2022,4326.51
SP500,1/28/2022,4431.85
SP500,1/31/2022,4515.55
SP500,2/1/2022,4546.54
SP500,2/2/2022,4589.38
SP500,2/3/2022,4477.44
SP500,2/4/2022,4500.53
SP500,2/7/2022,4483.87
SP500,2/8/2022,4521.54
SP500,2/9/2022,4587.18
SP500,2/10/2022,4504.08
SP500,2/11/2022,4418.64
SP500,2/14/2022,4401.67
SP500,2/15/2022,4471.07
SP500,2/16/2022,4475.01
SP500,2/17/2022,4380.26
SP500,2/18/2022,4348.87
SP500,2/22/2022,4304.76
